"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Contacts","","0","0","8","0","0"
"","","","0","1","80","0","0"
"","Shopping Cart","Checking out a product","0","0","2","0","0"
"","Product Catalog","The one where Sally searches for an Adjustable Wrench","0","1","0","0","0"
"","Contacts","Contact form","2","0","4","0","0"
"","Product Catalog","The one where Sally searches for a product that doesn't exist","0","1","0","0","0"
"","Product Catalog","The one where Sally searches for a more general term1","0","1","0","0","0"
"","Product Catalog","Searching for products","1","0","4","0","0"
"","Product Catalog","The one where Sally only wants to see Hand Saws","0","1","0","0","0"
"","Shopping Cart","","0","0","1","0","0"
"","Product Catalog","The one where Sally searches for a more general term2","0","1","0","0","0"
"","Product Catalog","Sally sorts by different criteria","0","4","0","0","0"
